Province,Centre,Total
,New Glasgow,9
,New Glasgow,29
,New Glasgow,47
,New Glasgow,4
,New Glasgow,167
,Truro,132
,Truro,111
,Truro,79
,Truro,322
,Total,"2,980"
,Moncton,4
,Moncton,7
,Moncton,28
,Moncton,136
,Moncton,3
,Moncton,--
,Moncton,2
,Moncton,19
,Moncton,65
,Moncton,569
,Moncton,19
,Moncton,477
,Moncton,--
,Moncton,"1,329"
,Saint John,5
,Saint John,--
,Saint John,11
,Saint John,339
,Saint John,2
,Saint John,2
,Saint John,--
,Saint John,2
,Saint John,10
,Saint John,42
,Saint John,3
,Saint John,1
,Saint John,10
,Saint John,10
,Saint John,2
,Saint John,33
,Saint John,163
,Saint John,635
,Fredericton,60
,Fredericton,6
,Fredericton,10
,Fredericton,--
,Fredericton,46
,Fredericton,21
,Fredericton,22
,Fredericton,31
,Fredericton,461
,Fredericton,657
,Bathurst,12
,Bathurst,20
,Bathurst,19
,Bathurst,2
,Bathurst,26
,Bathurst,5
,Bathurst,84
,Campbellton,--
,Campbellton,2
,Campbellton,1
,Campbellton,13
,Campbellton,--
,Campbellton,16
,Edmundston,2
,Edmundston,3
,Edmundston,4
,Edmundston,69
,Edmundston,--
,Edmundston,78
,Miramichi,5
,Miramichi,3
,Miramichi,--
,Miramichi,34
,Miramichi,42
,Total,"2,841"
,Saguenay,462
,Saguenay,4
,Saguenay,39
,Saguenay,8
,Saguenay,513
,Montréal,165
,Montréal,64
,Montréal,14
,Montréal,276
,Montréal,93
,Montréal,37
,Montréal,41
,Montréal,32
,Montréal,255
,Montréal,152
,Montréal,76
,Montréal,"1,253"
,Montréal,--
,Montréal,192
,Montréal,122
,Montréal,"1,145"
,Montréal,72
,Montréal,209
,Montréal,8
,Montréal,33
,Montréal,48
,Montréal,915
,Montréal,4
,Montréal,322
,Montréal,65
,Montréal,--
,Montréal,951
,Montréal,759
,Montréal,"2,787"
,Montréal,19
,Montréal,"7,616"
,Montréal,3
,Montréal,28
,Montréal,11
,Montréal,6
,Montréal,2
,Montréal,39
,Montréal,--
,Montréal,205
,Montréal,13
,Montréal,22
,Montréal,2
,Montréal,7
,Montréal,1
,Montréal,69
,Montréal,5
,Montréal,23
,Montréal,119
,Montréal,308
,Montréal,58
,Montréal,61
,Montréal,178
,Montréal,8
,Montréal,61
,Montréal,294
,Montréal,7
,Montréal,20
,Montréal,74
,Montréal,90
,Montréal,48
,Montréal,--
,Montréal,29
,Montréal,56
,Montréal,64
,Montréal,297
,Montréal,--
,Montréal,499
,Montréal,24
,Montréal,--
,Montréal,12
,Montréal,209
,Montréal,403
,Montréal,24
,Montréal,449
,Montréal,51
,Montréal,46
,Montréal,25
,Montréal,7
,Montréal,19
,Montréal,247
,Montréal,547
,Montréal,23
,Montréal,9
,Montréal,195
,Montréal,83
,Montréal,518
,Montréal,239
,Montréal,767
,Montréal,32
,Montréal,"24,361"
,Gatineau,"2,146"
,Gatineau,73
,Gatineau,120
,Gatineau,142
,Gatineau,29
,Gatineau,52
,Gatineau,64
,Gatineau,6
,Gatineau,"2,632"
,Québec,68
,Québec,--
,Québec,2
,Québec,4
,Québec,3
,Québec,2
,Québec,2
,Québec,3
,Québec,35
,Québec,53
,Québec,79
,Québec,114
,Québec,15
,Québec,1
,Québec,88
,Québec,38
,Québec,--
,Québec,106
,Québec,55
,Québec,49
,Québec,--
,Québec,"2,331"
,Québec,110
,Québec,148
,Québec,"1,109"
,Québec,27
,Québec,"4,442"
,Sherbrooke,13
,Sherbrooke,7
,Sherbrooke,37
,Sherbrooke,"1,334"
,Sherbrooke,7
,Sherbrooke,--
,Sherbrooke,--
,Sherbrooke,13
,Sherbrooke,295
,Sherbrooke,"1,706"
,Trois-Rivières,894
,Trois-Rivières,2
,Trois-Rivières,40
,Trois-Rivières,106
,Trois-Rivières,"1,042"
,Drummondville,6
,Drummondville,35
,Drummondville,873
,Drummondville,--
,Drummondville,11
,Drummondville,925
,Granby,279
,Granby,17
,Granby,443
,Granby,24
,Granby,763
,Saint-Hyacinthe,20
,Saint-Hyacinthe,289
,Saint-Hyacinthe,1
,Saint-Hyacinthe,--
,Saint-Hyacinthe,310
,Saint-Jean-sur-Richelieu,987
,Saint-Jean-sur-Richelieu,987
,Shawinigan,19
,Shawinigan,384
,Shawinigan,--
,Shawinigan,--
,Shawinigan,403
,Gaspé,78
,Gaspé,78
,Montmagny,23
,Montmagny,23
,Roberval,14
,Roberval,14
,Saint-Félicien,30
,Saint-Félicien,30
,Saint-Lin-Laurentides,247
,Saint-Lin-Laurentides,247
,Sainte-Marie,113
,Sainte-Marie,113
,Alma,152
,Alma,1
,Alma,4
,Alma,157
,Amos,--
,Amos,--
,Amos,2
,Amos,--
,Amos,17
,Amos,--
,Amos,--
,Amos,--
,Amos,--
,Amos,--
,Amos,19
,Baie-Comeau,--
,Baie-Comeau,13
,Baie-Comeau,--
,Baie-Comeau,--
,Baie-Comeau,--
,Baie-Comeau,--
,Baie-Comeau,--
,Baie-Comeau,13
,Campbellton,--
,Campbellton,--
,Cowansville,39
,Cowansville,1
,Cowansville,40
,Dolbeau-Mistassini,14
,Dolbeau-Mistassini,14
,Hawkesbury,7
,Hawkesbury,7
,Joliette,86
,Joliette,--
,Joliette,120
,Joliette,107
,Joliette,106
,Joliette,419
,Lachute,65
,Lachute,65
,La Tuque,8
,La Tuque,8
,Matane,--
,Matane,42
,Matane,2
,Matane,44
,Pembroke,--
,Pembroke,--
,Rimouski,5
,Rimouski,28
,Rimouski,166
,Rimouski,--
,Rimouski,6
,Rimouski,205
,Rivière-du-Loup,33
,Rivière-du-Loup,1
,Rivière-du-Loup,154
,Rivière-du-Loup,5
,Rivière-du-Loup,193
,Rouyn-Noranda,108
,Rouyn-Noranda,108
,Saint-Georges,238
,Saint-Georges,1
,Saint-Georges,5
,Saint-Georges,244
,Sept-Îles,59
,Sept-Îles,59
,Sorel-Tracy,14
,Sorel-Tracy,5
,Sorel-Tracy,--
,Sorel-Tracy,197
,Sorel-Tracy,--
,Sorel-Tracy,33
,Sorel-Tracy,249
,Thetford Mines,26
,Thetford Mines,1
,Thetford Mines,27
,Val d'Or,108
,Val d'Or,108
,Salaberry-de-Valleyfield,208
,Salaberry-de-Valleyfield,208
,Victoriaville,--
,Victoriaville,23
,Victoriaville,360
,Victoriaville,19
,Victoriaville,402
,Total,"41,178"
,Barrie,113
,Barrie,188
,Barrie,767
,Barrie,"1,068"
,Brantford,125
,Brantford,359
,Brantford,484
,Guelph,845
,Guelph,90
,Guelph,935
,Hamilton,"1,195"
,Hamilton,"2,010"
,Hamilton,104
,Hamilton,"3,309"
,Kingston,8
,Kingston,596
,Kingston,82
,Kingston,90
,Kingston,776
,Kitchener,17
,Kitchener,597
,Kitchener,"1,405"
,Kitchener,494
,Kitchener,205
,Kitchener,"2,718"
,London,36
,London,316
,London,5
,London,80
,London,36
,London,122
,London,"2,591"
,London,3
,London,"3,189"
,St. Catharines-Niagara,162
,St. Catharines-Niagara,27
,St. Catharines-Niagara,21
,St. Catharines-Niagara,79
,St. Catharines-Niagara,124
,St. Catharines-Niagara,36
,St. Catharines-Niagara,199
,St. Catharines-Niagara,148
,St. Catharines-Niagara,267
,St. Catharines-Niagara,104
,St. Catharines-Niagara,"1,167"
,Oshawa,873
,Oshawa,892
,Oshawa,833
,Oshawa,"2,598"
,Ottawa,140
,Ottawa,102
,Ottawa,"5,436"
,Ottawa,"5,678"
,Peterborough,18
,Peterborough,28
,Peterborough,289
,Peterborough,47
,Peterborough,31
,Peterborough,413
,Greater Sudbury,494
,Greater Sudbury,494
,Thunder Bay,6
,Thunder Bay,166
,Thunder Bay,17
,Thunder Bay,--
,Thunder Bay,--
,Thunder Bay,2
,Thunder Bay,6
,Thunder Bay,197
,Toronto,168
,Toronto,"1,636"
,Toronto,186
,Toronto,"4,176"
,Toronto,"2,628"
,Toronto,"1,622"
,Toronto,"1,085"
,Toronto,361
,Toronto,342
,Toronto,18
,Toronto,154
,Toronto,116
,Toronto,"6,786"
,Toronto,"2,679"
,Toronto,"4,626"
,Toronto,108
,Toronto,30
,Toronto,64
,Toronto,"1,344"
,Toronto,"1,532"
,Toronto,278
,Toronto,228
,Toronto,190
,Toronto,"30,357"
,Windsor,52
,Windsor,64
,Windsor,246
,Windsor,6
,Windsor,145
,Windsor,513
,Belleville,157
,Belleville,157
,Belleville,314
,Chatham-Kent,196
,Chatham-Kent,196
,Cornwall,37
,Cornwall,48
,Cornwall,85
,Kawartha Lakes,296
,Kawartha Lakes,296
,Norfolk,337
,Norfolk,337
,North Bay,6
,North Bay,12
,North Bay,92
,North Bay,12
,North Bay,122
,Sarnia,58
,Sarnia,216
,Sarnia,1
,Sarnia,275
,Sault Sainte-Marie,1
,Sault Sainte-Marie,6
,Sault Sainte-Marie,94
,Sault Sainte-Marie,1
,Sault Sainte-Marie,102
,Bracebridge,87
,Bracebridge,87
,Trent Hills,55
,Trent Hills,55
,Erin,27
,Erin,27
,Haldimand,224
,Haldimand,224
,Gravenhurst,36
,Gravenhurst,36
,Greater Napanee,49
,Greater Napanee,49
,Hunstville,88
,Hunstville,88
,Lambton Shores,27
,Lambton Shores,27
,Georgian Highlands,25
