Province,Centre,Total
Ont./Ont.,Cobourg,159
Ont./Ont.,Cobourg,159
Ont./Ont.,Collingwood,238
Ont./Ont.,Collingwood,238
Ont./Ont.,Elliot Lake,8
Ont./Ont.,Elliot Lake,8
Ont./Ont.,Temiskaming Shores,1
Ont./Ont.,Temiskaming Shores,1
Ont./Ont.,Temiskaming Shores,23
Ont./Ont.,Temiskaming Shores,1
Ont./Ont.,Temiskaming Shores,26
Ont./Ont.,Hawkesbury,32
Ont./Ont.,Hawkesbury,32
Ont./Ont.,Kenora,53
Ont./Ont.,Kenora,53
Ont./Ont.,Leamington,136
Ont./Ont.,Leamington,112
Ont./Ont.,Leamington,248
Ont./Ont.,Midland,77
Ont./Ont.,Midland,48
Ont./Ont.,Midland,126
Ont./Ont.,Midland,251
Ont./Ont.,Orillia,79
Ont./Ont.,Orillia,109
Ont./Ont.,Orillia,188
Ont./Ont.,Owen Sound,39
Ont./Ont.,Owen Sound,85
Ont./Ont.,Owen Sound,124
Ont./Ont.,Pembroke,41
Ont./Ont.,Pembroke,61
Ont./Ont.,Pembroke,102
Ont./Ont.,Petawawa,74
Ont./Ont.,Petawawa,74
Ont./Ont.,Port Hope,55
Ont./Ont.,Port Hope,55
Ont./Ont.,Stratford,109
Ont./Ont.,Stratford,109
Ont./Ont.,Tillsonburg,74
Ont./Ont.,Tillsonburg,74
Ont./Ont.,Timmins,42
Ont./Ont.,Timmins,42
Ont./Ont.,Woodstock,415
Ont./Ont.,Woodstock,415
Ont./Ont.,Total,"68,020"
Man./Man.,Winnipeg,68
Man./Man.,Winnipeg,38
Man./Man.,Winnipeg,8
Man./Man.,Winnipeg,"2,204"
Man./Man.,Winnipeg,18
Man./Man.,Winnipeg,100
Man./Man.,Winnipeg,36
Man./Man.,Winnipeg,50
Man./Man.,Winnipeg,92
Man./Man.,Winnipeg,4
Man./Man.,Winnipeg,"2,618"
Man./Man.,Hanover,70
Man./Man.,Hanover,70
Man./Man.,St. Andrews,46
Man./Man.,St. Andrews,46
Man./Man.,Brandon,189
Man./Man.,Brandon,1
Man./Man.,Brandon,190
Man./Man.,Portage la Prairie,8
Man./Man.,Portage la Prairie,9
Man./Man.,Portage la Prairie,17
Man./Man.,Thompson,10
Man./Man.,Thompson,10
Man./Man.,Total,"2,951"
Sask./Sask.,Regina,--
Sask./Sask.,Regina,--
Sask./Sask.,Regina,--
Sask./Sask.,Regina,2
Sask./Sask.,Regina,907
Sask./Sask.,Regina,6
Sask./Sask.,Regina,51
Sask./Sask.,Regina,19
Sask./Sask.,Regina,--
Sask./Sask.,Regina,19
Sask./Sask.,Regina,--
Sask./Sask.,Regina,4
Sask./Sask.,Regina,--
Sask./Sask.,Regina,8
Sask./Sask.,Regina,10
Sask./Sask.,Regina,--
Sask./Sask.,Regina,3
Sask./Sask.,Regina,"1,029"
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,7
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,4
Sask./Sask.,Saskatoon,56
Sask./Sask.,Saskatoon,706
Sask./Sask.,Saskatoon,2
Sask./Sask.,Saskatoon,105
Sask./Sask.,Saskatoon,6
Sask./Sask.,Saskatoon,119
Sask./Sask.,Saskatoon,--
Sask./Sask.,Saskatoon,--
