"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","2500","E","","","0"
"2011","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","3200","D","","","0"
"2012","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","3300","D","","","0"
"2013","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","3000","D","","","0"
"2014","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","3300","D","","","0"
"2015","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","3800","D","","","0"
"2016","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","3100","E","","","0"
"2017","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","2700","E","","","0"
"2018","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","2800","E","","","0"
"2019","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","2800","E","","","0"
"2020","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","2900","D","","","0"
"2021","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","3100","D","","","0"
"2006","Saskatchewan","2016A000247","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414411","11.12.1","53000","A","","","0"
"2007","Saskatchewan","2016A000247","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414411","11.12.1","55100","A","","","0"
